HT_AT_DATE,DATE,HT,AT,HT_RD,AT_RD,HT_ELO,AT_ELO,HT_HPG,AT_HPG,HT_PREV_SC,AT_PREV_SC,HT_WL_RATIO,AT_WL_RATIO,HT_AVG_SC,AT_AVG_SC,HT_SC,AT_SC
NYY_BAL_2014-09-25,2014-09-25,30,18,0.0,0.0,1508.536,1566.457,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,6.0,5.0
SD_ARI_2021-04-01,2021-04-01,10,4,0.0,0.0,1513.51874473127,1499.3530243954,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,8.0,7.0
KC_TEX_2021-04-01,2021-04-01,12,11,0.0,0.0,1475.38962308886,1474.62639183636,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,14.0,10.0
CIN_STL_2021-04-01,2021-04-01,21,28,0.0,0.0,1498.99511639154,1512.71996552287,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,6.0,11.0
COL_LAD_2021-04-01,2021-04-01,6,29,0.0,0.0,1478.62367604887,1575.03057139777,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,8.0,5.0
CHC_PIT_2021-04-01,2021-04-01,25,20,0.0,0.0,1510.60616562613,1466.88546459402,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,3.0,5.0
MIL_MIN_2021-04-01,2021-04-01,2,17,0.0,0.0,1502.38692943652,1522.96048814387,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,6.0,5.0
DET_CLE_2021-04-01,2021-04-01,22,15,0.0,0.0,1450.43750505515,1513.16494481777,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,3.0,2.0
NYY_TOR_2021-04-01,2021-04-01,30,9,0.0,0.0,1540.62987424448,1499.3936808717,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,2.0,3.0
PHI_ATL_2021-04-01,2021-04-01,19,26,0.0,0.0,1499.85497984661,1537.33482967031,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,3.0,2.0
OAK_HOU_2021-04-02,2021-04-02,24,13,0.0,0.0,1523.39205701455,1538.98524484157,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,1.0,8.0
SEA_SF_2021-04-02,2021-04-02,1,27,0.0,0.0,1489.52619925133,1499.82938123171,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,8.0,7.0
BOS_BAL_2021-04-02,2021-04-02,23,18,0.0,0.0,1500.12233098211,1479.18918432928,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.34,0.0,3.0
CHC_PIT_2021-04-03,2021-04-03,25,20,-2.0,2.0,1508.31160026971,1469.18002995044,2.0,9.0,3.0,5.0,0.0,1.0,3.0,5.0,5.0,1.0
